question,candidates,llm_final_match
Does the company have a editorial policy,"['Does The Entity Have An Anti Corruption Or Anti Bribery Policy', 'Number Of Employees In The Company At The End Of The Financial Year', 'Initially Applied Ind A Ss Domain', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Remarks For Assurance Of Whether The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016']",
Does the company have a highest authority responsible for implementation and oversight of the Business Responsibility(ies) and ESG policy,"['Remarks For Assurance Of Details Of The Highest Authority Responsible For Implementation And Oversight Of The Business Responsibility Policy', 'Details On Policy Development And Implementation By Company On Corporate Social Responsibility Initiatives Taken During Year Explanatory', 'Details Of The Highest Authority Responsible For Implementation And Oversight Of The Business Responsibility Policy Explanatory Text Block', 'Number Of Employees In The Company At The End Of The Financial Year']",
Does the company have a human rights policy established,"['Does The Entity Have An Anti Corruption Or Anti Bribery Policy', 'Number Of Employees In The Company At The End Of The Financial Year', 'Remarks For Assurance Of Employees And Workers Who Have Been Provided Training On Human Rights Issues And Policies Of The Entity', 'Initially Applied Ind A Ss Domain', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Remarks For Assurance Of Whether The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016']",
Does the company have a policy for appointment or reappointment o auditors,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy', 'Does The Entity Have An Anti Corruption Or Anti Bribery Policy', 'The Entity Does Not Have The Financial Or Human And Technical Resources Available For The Task - Principle8 Member', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Remarks For Assurance Of Whether The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016']",
Does the company have a policy for ensuring quality and patient safety during clinical trials,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy', 'Safety Security Expenses', 'Does The Entity Have An Anti Corruption Or Anti Bribery Policy', 'Assurance Sub Type For Whether The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Remarks For Assurance Of Whether The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016']",
Does the company have a policy on anti-money laundering and/or insider trading/dealing,"['Does The Entity Have An Anti Corruption Or Anti Bribery Policy', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Initially Applied Ind A Ss Domain', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Details For The Entity Have Not Applicable An Anti Corruption Or Anti Bribery Policy Explanatory Text Block']",
Does the company have a policy on environmental management and is it available publicly,"['Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy', 'Name Of Stock Exchange Where The Company Is Listed', 'Whether Company Is Listed Company', 'Whether Information Available In Public Domain - Public Policy1', 'Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'Whether Information Available In Public Domain - Public Policy27', 'Whether Information Available In Public Domain - Public Policy22']",
Does the company have a policy or commitment on financial inclusion,"['Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy', 'Does The Entity Have An Anti Corruption Or Anti Bribery Policy', 'Number Of Employees In The Company At The End Of The Financial Year', 'Details Of Material Changes And Commitment Occurred During Period Affecting Financial Position Of Company', 'Remarks For Assurance Of The Entity Is AMember Of Or Affiliated To Trade And Industry Chambers Or Associations Determined Based On The Total Members Of Such Body', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016']",
Does the company have a program or is taking efforts to increase the availability and affordability of the medicines in low income/developing markets,"['Whether Markets Served By The Entity Is Assured By Assurer', 'Name Of Stock Exchange Where The Company Is Listed', 'Number Of Employees In The Company At The End Of The Financial Year', 'Details If The Employees Or Worker Of The Entity Have Access To Non Occupational Medical And Healthcare Services Is Not Applicable Explanatory Text Block', 'Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board']",
Does the company have a public policy committing it and/or its suppliers to animal welfare principles,"['Staff Welfare Expense', 'Assurance Sub Type For APreferential Procurement Policy Where Preference To Purchase From Suppliers Comprising Marginalized Or Vulnerable Groups And Its Percentage Of Total Procurement By Value Does It Constitute', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Remarks For Assurance Of APreferential Procurement Policy Where Preference To Purchase From Suppliers Comprising Marginalized Or Vulnerable Groups And Its Percentage Of Total Procurement By Value Does It Constitute']",
"Does the company have a publicly available policy in place for mining from conflict affected and high risk areas. If yes, provide details","['Details Of The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board Explanatory Text Block', 'Details If Exemption Is Granted For Statement Under Section 129', 'Description Of Accounting Policy For Mining Rights Explanatory', 'Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
Does the company have a specified committee of the board/director responsible for decision making on sustainability related issues (Y/N),"['Assurer Has Assured Whether The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues', 'Whether Company Has Published Sustainability Report For The Financial Year', 'Number Of Employees In The Company At The End Of The Financial Year', 'Details Of Specified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues Explanatory Text Block', 'Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues']",
Does the company have a strategy for climate change adaptation and mitigation,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Does The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India', 'Assurance Sub Type For Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard', 'Remarks For Assurance Of Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory']",
